Agency: Online Service,Online Service Launch Date,Average Paper/Envelopes Saved per Transaction,Number of Transactions,Total Amount of Paper Saved
Agency: Online Service,Online Service Launch Date,,,
Agency: Online Service,Online Service Launch Date,,,
Oklahoma Accountancy Board: Professional Licensing,4/17/2002,3,29852,89556
Oklahoma Alcoholic Beverage Laws Enforcement Commission: Professional Licensing,10/14/2003,1,87256,87256
Oklahoma Board of Medical Licensure and Supervision: Professional Licensing,12/2/2005,12,63580,762960
Oklahoma Board of Nursing: Professional Licensing,1/14/2002,1,124571,124571
Oklahoma Board of Psychologists Examiners: Professional Licensing,9/6/2003,19,1136,21584
Oklahoma Bureau of Narcotics and Dangerous Drug Control: Professional Licensing,4/30/2004,2,15614,31228
Oklahoma Department of Human Services: Child Support Services,5/30/2001,3,44496,133488
Oklahoma Department of Human Services: Commodity Distribution DF-8 Application,1/5/2002,,,4856
Oklahoma Department of Labor: Injury and Illness Survey,1/10/2003,3,3988,11964
Oklahoma Department of Wildlife: Hunting and Fishing License Sales,12/31/1998,8,2543512,20348096
Oklahoma Ethics Commission: Campaign Reporting System,1/2/2002,3,15303,61212
Oklahoma Ethics Commission: Lobbyist Reporting System,12/19/2003,4,373,1492
Oklahoma Office of Personnel Management: Online State Job Center  ,1/22/2004,4,143688,574752
Oklahoma Public Employees Retirement System: Online Enrollment,10/8/2003,2,6752,13504
Oklahoma Real Estate Commission: Professional Licensing,6/27/2003,1,4299,4299
Oklahoma Registration Board for Licensed Social Workers: Professional Licensing,5/7/2002,2,4821,9642
Oklahoma State Board of Chiropractic Examiners: Professional Licensing,8/28/2003,1,1483,1483
Oklahoma State Board of Examiners for Long Term Care Administrators: Complaint Form Filing,5/10/2002,6,102,612
Oklahoma State Board of Examiners for Long Term Care Administrators: Professional Licensing,10/14/2002,2,2888,5776
Oklahoma State Board of Licensed Alcohol and Drug Counselors: Professional Licensing,4/24/2003,5,2287,11435
Oklahoma State Board of Licensure for Professional Engineers & Land Surveyor: Professional Licensing,7/12/2000,3,22136,66408
Oklahoma State Board of Medical Licensure and Supervision Paperless Meetings,1/2012,777,45,34965
Oklahoma State Board of Osteopathic Examiners: Professional Licensing,4/20/2005,4,4733,18932
Oklahoma State Board of Pharmacy: Professional Licensing,1/31/2006,2,8680,17360
Oklahoma State Board of Speech-Language Pathology and Audiology: Professional Licensing,12/31/1999,2,5268,10536
Oklahoma State Board of Veterinary Medical Examiners: Professional Licensing,4/30/2004,2,1046,2092
Oklahoma State Election Board: Election Results and Statistics,1996,14,1154,16156
Oklahoma Tax Commission: eFile Option,1994,9,2735944,23384061
Oklahoma Turnpike Authority: Online Pikepass Statements and Notices,9/25/2004,1.05,315985,331784
Oklahoma Water Resources Board: Well Drillers' Online Reporting System,6/29/2001,1,8724,8724
Oklahoma Water Resources Board: Well Drillers' Professional Licensing,7/29/2004,5,18,90
